frame_idx,time_s,elbow_angle,spine_lean,head_knee_dx,foot_angle,left_wrist_speed_px_per_s,right_wrist_speed_px_per_s,conf_elbow,conf_spine,conf_head_dx,conf_foot
95,3.1667,130.66,19.06,-0.1028,5.19,42.43,30.0,0.9,0.999,0.987,0.942
96,3.2,125.93,18.74,-0.1028,18.43,120.0,30.0,0.904,0.999,0.987,0.942
97,3.2333,127.72,18.12,-0.1,13.24,42.43,0.0,0.91,0.999,0.988,0.942
98,3.2667,130.24,18.12,-0.0972,1.55,30.0,0.0,0.916,0.999,0.988,0.944
99,3.3,127.89,18.74,-0.0917,23.39,150.0,0.0,0.916,0.999,0.989,0.947
100,3.3333,123.07,18.74,-0.0944,27.98,90.0,30.0,0.917,0.999,0.989,0.949
101,3.3667,126.4,18.43,-0.0889,24.69,60.0,30.0,0.92,0.999,0.99,0.951
102,3.4,74.1,19.33,-0.1,29.05,270.0,60.0,0.924,0.999,0.991,0.953
103,3.4333,90.23,19.33,-0.1,31.33,0.0,42.43,0.93,0.999,0.991,0.955
104,3.4667,84.7,21.1,-0.1028,31.33,30.0,30.0,0.935,0.999,0.991,0.955
105,3.5,75.32,19.9,-0.0917,39.21,134.16,94.87,0.935,0.999,0.991,0.953
106,3.5333,90.0,18.74,-0.0889,43.78,318.9,123.69,0.933,0.999,0.992,0.954
107,3.5667,44.64,18.12,-0.0917,48.53,180.0,123.69,0.937,0.999,0.992,0.956
108,3.6,60.13,15.95,-0.1028,41.15,192.09,60.0,0.941,0.999,0.992,0.958
109,3.6333,97.13,16.61,-0.1028,33.83,324.5,192.09,0.946,1.0,0.993,0.96
110,3.6667,110.56,16.34,-0.1028,41.05,216.33,150.0,0.95,1.0,0.993,0.963
111,3.7,126.01,16.34,-0.1056,42.64,108.17,150.0,0.947,1.0,0.993,0.964
112,3.7333,134.43,16.34,-0.1056,51.44,120.0,42.43,0.951,1.0,0.993,0.965
113,3.7667,123.06,15.68,-0.1028,53.37,134.16,123.69,0.953,1.0,0.992,0.965
114,3.8,136.57,13.8,-0.1,34.48,30.0,42.43,0.953,1.0,0.99,0.964
115,3.8333,138.91,13.07,-0.1028,45.0,123.69,67.08,0.953,1.0,0.989,0.966
116,3.8667,146.94,11.11,-0.0972,49.4,84.85,67.08,0.953,1.0,0.987,0.966
117,3.9,142.07,8.82,-0.0917,53.13,67.08,42.43,0.953,1.0,0.986,0.967
118,3.9333,145.17,8.13,-0.0889,31.26,30.0,60.0,0.954,1.0,0.984,0.966
119,3.9667,139.76,6.88,-0.075,37.76,42.43,90.0,0.957,1.0,0.98,0.965
120,4.0,141.59,7.0,-0.05,60.95,67.08,30.0,0.96,1.0,0.976,0.964
121,4.0333,154.26,0.99,-0.0278,74.23,90.0,301.5,0.957,1.0,0.973,0.965
122,4.0667,159.92,0.97,-0.0056,77.28,67.08,308.87,0.958,1.0,0.973,0.967
123,4.1,152.68,0.97,-0.0056,81.16,127.28,84.85,0.962,1.0,0.973,0.968
124,4.1333,158.78,0.0,-0.0361,108.19,67.08,134.16,0.965,1.0,0.973,0.968
125,4.1667,162.47,0.95,-0.0278,81.87,67.08,60.0,0.965,1.0,0.966,0.969
126,4.2,161.68,1.94,-0.0361,71.27,120.0,150.0,0.959,0.999,0.957,0.967
127,4.2333,169.09,1.91,-0.025,84.75,331.36,403.61,0.927,0.999,0.952,0.965
128,4.2667,176.54,0.92,-0.0222,72.78,258.07,90.0,0.883,0.999,0.947,0.966
129,4.3,176.54,0.91,0.0111,74.29,212.13,134.16,0.8,0.999,0.894,0.946
130,4.3333,176.34,0.0,0.0056,59.5,42.43,228.47,0.741,0.999,0.899,0.904
131,4.3667,169.8,0.0,0.0167,76.87,161.55,123.69,0.708,0.999,0.909,0.906
132,4.4,169.42,0.0,0.0194,102.53,84.85,152.97,0.678,0.999,0.918,0.908
133,4.4333,164.55,0.92,0.025,97.13,42.43,0.0,0.672,0.999,0.925,0.914
134,4.4667,163.61,1.82,0.0417,104.6,30.0,0.0,0.652,0.999,0.933,0.916
135,4.5,166.44,1.85,0.05,104.53,123.69,123.69,0.646,0.999,0.939,0.919
136,4.5333,154.98,0.92,0.0611,110.56,120.0,42.43,0.612,0.999,0.944,0.918
